Waf: Entering directory `/home/ubuntu/ns-allinone-3.35/ns-3.35/build'
[2099/2149] Compiling scratch/truong.cc
[2110/2149] Linking build/scratch/truong
Waf: Leaving directory `/home/ubuntu/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.463s)
TcPacketsInQueue 0 to 1
TcPacketsInQueue 1 to 0
DevicePacketsInQueue 0 to 1
DevicePacketsInQueue 1 to 0
TcPacketsInQueue 0 to 1
TcPacketsInQueue 1 to 0
DevicePacketsInQueue 0 to 1
DevicePacketsInQueue 1 to 0
TcPacketsInQueue 0 to 1
TcPacketsInQueue 1 to 0
DevicePacketsInQueue 0 to 1
TcPacketsInQueue 0 to 1
TcPacketsInQueue 1 to 2
TcPacketsInQueue 2 to 3
TcPacketsInQueue 3 to 4
TcPacketsInQueue 4 to 5
TcPacketsInQueue 5 to 6
TcPacketsInQueue 6 to 7
TcPacketsInQueue 7 to 8
TcPacketsInQueue 8 to 9
DevicePacketsInQueue 1 to 0
TcPacketsInQueue 9 to 8
DevicePacketsInQueue 0 to 1
DevicePacketsInQueue 1 to 0
TcPacketsInQueue 8 to 7
DevicePacketsInQueue 0 to 1
DevicePacketsInQueue 1 to 0
TcPacketsInQueue 7 to 6
DevicePacketsInQueue 0 to 1
DevicePacketsInQueue 1 to 0
TcPacketsInQueue 6 to 5
DevicePacketsInQueue 0 to 1
DevicePacketsInQueue 1 to 0
TcPacketsInQueue 5 to 4
DevicePacketsInQueue 0 to 1
DevicePacketsInQueue 1 to 0
TcPacketsInQueue 4 to 3
DevicePacketsInQueue 0 to 1
TcPacketsInQueue 3 to 4
TcPacketsInQueue 4 to 5
DevicePacketsInQueue 1 to 0
TcPacketsInQueue 5 to 4
DevicePacketsInQueue 0 to 1
DevicePacketsInQueue 1 to 0
TcPacketsInQueue 4 to 3
DevicePacketsInQueue 0 to 1
TcPacketsInQueue 3 to 4
TcPacketsInQueue 4 to 5
TcPacketsInQueue 5 to 6
TcPacketsInQueue 6 to 7
